method,run,auc
target_only,1,0.6904761904761905
target_only,2,0.5201465201465201
target_only,3,0.6245421245421245
target_only,4,0.6556776556776557
target_only,5,0.489010989010989
target_only,6,0.5402930402930403
target_only,7,0.6978021978021978
target_only,8,0.6721611721611722
target_only,9,0.6941391941391941
target_only,10,0.663003663003663
coral,1,0.6428571428571428
coral,2,0.6080586080586081
coral,3,0.6336996336996338
coral,4,0.6575091575091575
coral,5,0.521978021978022
coral,6,0.6172161172161172
coral,7,0.6758241758241758
coral,8,0.6153846153846154
coral,9,0.6575091575091575
coral,10,0.565934065934066
dann,1,0.5457875457875457
dann,2,0.45970695970695974
dann,3,0.6062271062271062
dann,4,0.5659340659340659
dann,5,0.4285714285714286
dann,6,0.5531135531135531
dann,7,0.5183150183150184
dann,8,0.6062271062271062
dann,9,0.5805860805860805
dann,10,0.5091575091575091
