run,seed,lambda_bg_star,margin_star,val_auc_star,tuned_test_auc,tuned_n_selected,baseline_test_auc,baseline_n_selected
1,1000,0.01,0.05,0.6000000000000001,0.5842490842490843,59,0.7252747252747253,54
2,1001,0.1,0.05,0.625,0.6025641025641025,87,0.6611721611721612,45
3,1002,0.01,0.05,0.725,0.5384615384615384,59,0.6813186813186812,58
4,1003,0.0,0.0,0.3916666666666666,0.7124542124542125,49,0.7124542124542125,49
5,1004,0.1,0.0,0.7,0.6520146520146519,80,0.7197802197802198,50
6,1005,0.5,0.0,0.7749999999999999,0.6336996336996337,97,0.6227106227106227,52
7,1006,0.5,0.0,0.7666666666666666,0.6391941391941391,101,0.7307692307692307,48
8,1007,0.01,0.05,0.8083333333333333,0.7271062271062272,56,0.6446886446886446,51
9,1008,0.5,0.05,0.8666666666666666,0.6465201465201464,102,0.6318681318681318,54
10,1009,1.0,0.0,0.8833333333333333,0.6575091575091575,101,0.6575091575091575,57
