run,seed,lambda_bg,margin,val_auc,val_n_selected
1,1000,0.0,0.0,0.31666666666666665,59
1,1000,0.01,0.0,0.29166666666666663,58
1,1000,0.01,0.05,0.6000000000000001,62
1,1000,0.1,0.0,0.6,75
1,1000,0.1,0.05,0.4750000000000001,84
1,1000,0.5,0.0,0.375,100
1,1000,0.5,0.05,0.5083333333333333,104
1,1000,1.0,0.0,0.4833333333333334,102
1,1000,1.0,0.05,0.475,104
2,1001,0.0,0.0,0.5416666666666667,45
2,1001,0.01,0.0,0.48333333333333334,45
2,1001,0.01,0.05,0.49999999999999994,49
2,1001,0.1,0.0,0.6166666666666667,69
2,1001,0.1,0.05,0.625,80
2,1001,0.5,0.0,0.5916666666666667,42
2,1001,0.5,0.05,0.625,104
2,1001,1.0,0.0,0.5666666666666667,103
2,1001,1.0,0.05,0.575,104
3,1002,0.0,0.0,0.5416666666666667,54
3,1002,0.01,0.0,0.5,58
3,1002,0.01,0.05,0.725,59
3,1002,0.1,0.0,0.5666666666666667,79
3,1002,0.1,0.05,0.5666666666666667,92
3,1002,0.5,0.0,0.5416666666666667,100
3,1002,0.5,0.05,0.4666666666666667,103
3,1002,1.0,0.0,0.5666666666666667,102
3,1002,1.0,0.05,0.6333333333333333,104
4,1003,0.0,0.0,0.3916666666666666,52
4,1003,0.01,0.0,0.30833333333333335,57
4,1003,0.01,0.05,0.35,56
4,1003,0.1,0.0,0.3583333333333333,72
4,1003,0.1,0.05,0.2666666666666666,86
4,1003,0.5,0.0,0.2583333333333333,88
4,1003,0.5,0.05,0.33333333333333337,104
4,1003,1.0,0.0,0.3666666666666667,103
4,1003,1.0,0.05,0.3833333333333333,104
5,1004,0.0,0.0,0.6416666666666667,46
5,1004,0.01,0.0,0.55,48
5,1004,0.01,0.05,0.6416666666666667,48
5,1004,0.1,0.0,0.7,70
5,1004,0.1,0.05,0.6083333333333334,83
5,1004,0.5,0.0,0.6916666666666667,99
5,1004,0.5,0.05,0.44999999999999996,102
5,1004,1.0,0.0,0.45833333333333337,102
5,1004,1.0,0.05,0.4833333333333333,104
6,1005,0.0,0.0,0.4666666666666666,53
6,1005,0.01,0.0,0.6333333333333333,56
6,1005,0.01,0.05,0.6,56
6,1005,0.1,0.0,0.6416666666666666,68
6,1005,0.1,0.05,0.55,82
6,1005,0.5,0.0,0.7749999999999999,98
6,1005,0.5,0.05,0.55,104
6,1005,1.0,0.0,0.5583333333333333,99
6,1005,1.0,0.05,0.5916666666666666,104
7,1006,0.0,0.0,0.44999999999999996,45
7,1006,0.01,0.0,0.7,45
7,1006,0.01,0.05,0.5666666666666667,49
7,1006,0.1,0.0,0.6166666666666667,65
7,1006,0.1,0.05,0.6083333333333333,79
7,1006,0.5,0.0,0.7666666666666666,37
7,1006,0.5,0.05,0.6583333333333333,104
7,1006,1.0,0.0,0.5833333333333334,100
7,1006,1.0,0.05,0.6583333333333333,104
8,1007,0.0,0.0,0.7583333333333333,57
8,1007,0.01,0.0,0.7833333333333333,58
8,1007,0.01,0.05,0.8083333333333333,60
8,1007,0.1,0.0,0.7416666666666667,75
8,1007,0.1,0.05,0.675,91
8,1007,0.5,0.0,0.6333333333333333,98
8,1007,0.5,0.05,0.6083333333333334,104
8,1007,1.0,0.0,0.7333333333333333,102
8,1007,1.0,0.05,0.6583333333333332,104
9,1008,0.0,0.0,0.7666666666666667,51
9,1008,0.01,0.0,0.6333333333333333,52
9,1008,0.01,0.05,0.7333333333333333,54
9,1008,0.1,0.0,0.5916666666666667,72
9,1008,0.1,0.05,0.5583333333333333,81
9,1008,0.5,0.0,0.8,96
9,1008,0.5,0.05,0.8666666666666666,100
9,1008,1.0,0.0,0.8166666666666667,97
9,1008,1.0,0.05,0.7,104
10,1009,0.0,0.0,0.7916666666666666,57
10,1009,0.01,0.0,0.44999999999999996,58
10,1009,0.01,0.05,0.7416666666666667,61
10,1009,0.1,0.0,0.6416666666666666,74
10,1009,0.1,0.05,0.6083333333333334,88
10,1009,0.5,0.0,0.8666666666666667,96
10,1009,0.5,0.05,0.7583333333333334,103
10,1009,1.0,0.0,0.8833333333333333,100
10,1009,1.0,0.05,0.7416666666666667,104
