"genus","selection_count","null_mean_freq","emp_p"
"Desulfovibrio",10,5.038,0.001998001998002
"Bacillus",8,5.052,0.0529470529470529
"Enorma",8,4.917,0.046953046953047
"Enterobacter",8,5.003,0.0699300699300699
"Gordonibacter",8,5.015,0.046953046953047
"Mageeibacillus",8,4.948,0.0549450549450549
"Monoglobus",8,5.022,0.0529470529470529
"Slackia",8,4.901,0.042957042957043
"Turicibacter",8,4.969,0.0559440559440559
"Akkermansia",7,4.987,0.177822177822178
"Bacteroides",7,4.979,0.158841158841159
"Clostridium",7,4.939,0.152847152847153
"Collinsella",7,4.923,0.158841158841159
"Coprobacter",7,4.959,0.166833166833167
"Limosilactobacillus",7,4.976,0.176823176823177
"Methanobrevibacter",7,4.938,0.167832167832168
"Odoribacter",7,4.959,0.168831168831169
"Parolsenella",7,5.002,0.155844155844156
"Peptococcus",7,5.004,0.184815184815185
"Prevotella",7,5.004,0.192807192807193
"Roseburia",7,5.004,0.167832167832168
"Ruthenibacterium",7,4.952,0.152847152847153
"Acidaminococcus",6,5.003,0.353646353646354
"Anaerobutyricum",6,5.051,0.390609390609391
"Anaerofilum",6,4.976,0.374625374625375
"Bilophila",6,4.943,0.360639360639361
"Butyricicoccus",6,4.943,0.357642357642358
"Coprobacillus",6,5.031,0.405594405594406
"Extibacter",6,4.925,0.364635364635365
"Fournierella",6,5.058,0.388611388611389
"Frisingicoccus",6,4.968,0.381618381618382
"Holdemanella",6,4.928,0.36963036963037
"Holdemania",6,4.951,0.35964035964036
"Hydrogenoanaerobacterium",6,4.948,0.372627372627373
"Kineothrix",6,4.964,0.374625374625375
"Lacticaseibacillus",6,4.992,0.375624375624376
"Parabacteroides",6,4.958,0.371628371628372
"Phascolarctobacterium",6,4.94,0.352647352647353
"Pusillibacter",6,4.945,0.360639360639361
"Rothia",6,5.041,0.400599400599401
"Ruminococcus",6,5,0.37962037962038
"Schaalia",6,4.902,0.350649350649351
"Adlercreutzia",5,5.061,0.644355644355644
"Anaerostipes",5,5.042,0.638361638361638
"Blautia",5,5.062,0.637362637362637
"Butyrivibrio",5,4.997,0.614385614385614
"Campylobacter",5,4.98,0.64035964035964
"Catenibacterium",5,5.002,0.634365634365634
"Cloacibacillus",5,4.932,0.611388611388611
"Dorea",5,5.063,0.633366633366633
"Enterococcus",5,5.038,0.647352647352647
"Eubacterium",5,5.008,0.636363636363636
"Faecalibacterium",5,4.993,0.611388611388611
"Faecalicatena",5,5.067,0.652347652347652
"Fusicatenibacter",5,4.953,0.607392607392607
"Gemmiger",5,4.979,0.631368631368631
"Haemophilus",5,4.959,0.608391608391608
"Intestinimonas",5,4.916,0.602397602397602
"Klebsiella",5,5.012,0.626373626373626
"Lachnospira",5,4.937,0.598401598401598
"Longicatena",5,4.994,0.623376623376623
"Parasutterella",5,4.959,0.62037962037962
"Pseudoflavonifractor",5,5.035,0.626373626373626
"Senegalimassilia",5,5.037,0.625374625374625
"Staphylococcus",5,4.955,0.631368631368631
"Tyzzerella",5,5.008,0.636363636363636
"Anaerotruncus",4,4.975,0.823176823176823
"Angelakisella",4,5.003,0.838161838161838
"Christensenella",4,4.905,0.798201798201798
"Coprococcus",4,4.935,0.807192807192807
"Enterocloster",4,4.944,0.818181818181818
"Lactiplantibacillus",4,4.928,0.822177822177822
"Lactococcus",4,5.065,0.837162837162837
"Ligilactobacillus",4,4.87,0.807192807192807
"Mediterraneibacter",4,5.007,0.834165834165834
"Muribaculum",4,4.973,0.821178821178821
"Paraprevotella",4,4.921,0.833166833166833
"Phocea",4,5.03,0.829170829170829
"Acutalibacter",3,4.987,0.953046953046953
"Alistipes",3,5.012,0.94005994005994
"Barnesiella",3,5.004,0.945054945054945
"Bifidobacterium",3,5.05,0.948051948051948
"Butyricimonas",3,4.965,0.936063936063936
"Eggerthella",3,5.045,0.953046953046953
"Eisenbergiella",3,4.968,0.932067932067932
"Escherichia",3,4.936,0.944055944055944
"Faecalimonas",3,5.015,0.951048951048951
"Lachnoclostridium",3,5.03,0.96003996003996
"Longibaculum",3,4.866,0.926073926073926
"Olsenella",3,5.055,0.946053946053946
"Oscillibacter",3,4.949,0.956043956043956
"Sellimonas",3,4.946,0.936063936063936
"Streptomyces",3,4.951,0.939060939060939
"Subdoligranulum",3,4.9,0.926073926073926
"Sutterella",3,5.016,0.949050949050949
"Actinomyces",2,5.01,0.99000999000999
"Flavonifractor",2,4.964,0.983016983016983
"Hungatella",2,5.019,0.99000999000999
"Lactobacillus",2,5.022,0.992007992007992
"Negativibacillus",2,4.99,0.991008991008991
"Agathobaculum",1,4.929,0.998001998001998
"Anaerotignum",1,4.93,0.999000999000999
"Faecalitalea",1,4.997,1
"Streptococcus",1,4.941,0.996003996003996
