"genus","selection_count","stability"
"Desulfovibrio",10,"frequent"
"Bacillus",8,"frequent"
"Enorma",8,"frequent"
"Enterobacter",8,"frequent"
"Gordonibacter",8,"frequent"
"Mageeibacillus",8,"frequent"
"Monoglobus",8,"frequent"
"Slackia",8,"frequent"
"Turicibacter",8,"frequent"
"Akkermansia",7,"frequent"
"Bacteroides",7,"frequent"
"Clostridium",7,"frequent"
"Collinsella",7,"frequent"
"Coprobacter",7,"frequent"
"Limosilactobacillus",7,"frequent"
"Methanobrevibacter",7,"frequent"
"Odoribacter",7,"frequent"
"Parolsenella",7,"frequent"
"Peptococcus",7,"frequent"
"Prevotella",7,"frequent"
"Roseburia",7,"frequent"
"Ruthenibacterium",7,"frequent"
"Acidaminococcus",6,"frequent"
"Anaerobutyricum",6,"frequent"
"Anaerofilum",6,"frequent"
"Bilophila",6,"frequent"
"Butyricicoccus",6,"frequent"
"Coprobacillus",6,"frequent"
"Extibacter",6,"frequent"
"Fournierella",6,"frequent"
"Frisingicoccus",6,"frequent"
"Holdemanella",6,"frequent"
"Holdemania",6,"frequent"
"Hydrogenoanaerobacterium",6,"frequent"
"Kineothrix",6,"frequent"
"Lacticaseibacillus",6,"frequent"
"Parabacteroides",6,"frequent"
"Phascolarctobacterium",6,"frequent"
"Pusillibacter",6,"frequent"
"Rothia",6,"frequent"
"Ruminococcus",6,"frequent"
"Schaalia",6,"frequent"
"Adlercreutzia",5,"intermediate"
"Anaerostipes",5,"intermediate"
"Blautia",5,"intermediate"
"Butyrivibrio",5,"intermediate"
"Campylobacter",5,"intermediate"
"Catenibacterium",5,"intermediate"
"Cloacibacillus",5,"intermediate"
"Dorea",5,"intermediate"
"Enterococcus",5,"intermediate"
"Eubacterium",5,"intermediate"
"Faecalibacterium",5,"intermediate"
"Faecalicatena",5,"intermediate"
"Fusicatenibacter",5,"intermediate"
"Gemmiger",5,"intermediate"
"Haemophilus",5,"intermediate"
"Intestinimonas",5,"intermediate"
"Klebsiella",5,"intermediate"
"Lachnospira",5,"intermediate"
"Longicatena",5,"intermediate"
"Parasutterella",5,"intermediate"
"Pseudoflavonifractor",5,"intermediate"
"Senegalimassilia",5,"intermediate"
"Staphylococcus",5,"intermediate"
"Tyzzerella",5,"intermediate"
"Anaerotruncus",4,"infrequent"
"Angelakisella",4,"infrequent"
"Christensenella",4,"infrequent"
"Coprococcus",4,"infrequent"
"Enterocloster",4,"infrequent"
"Lactiplantibacillus",4,"infrequent"
"Lactococcus",4,"infrequent"
"Ligilactobacillus",4,"infrequent"
"Mediterraneibacter",4,"infrequent"
"Muribaculum",4,"infrequent"
"Paraprevotella",4,"infrequent"
"Phocea",4,"infrequent"
"Acutalibacter",3,"infrequent"
"Alistipes",3,"infrequent"
"Barnesiella",3,"infrequent"
"Bifidobacterium",3,"infrequent"
"Butyricimonas",3,"infrequent"
"Eggerthella",3,"infrequent"
"Eisenbergiella",3,"infrequent"
"Escherichia",3,"infrequent"
"Faecalimonas",3,"infrequent"
"Lachnoclostridium",3,"infrequent"
"Longibaculum",3,"infrequent"
"Olsenella",3,"infrequent"
"Oscillibacter",3,"infrequent"
"Sellimonas",3,"infrequent"
"Streptomyces",3,"infrequent"
"Subdoligranulum",3,"infrequent"
"Sutterella",3,"infrequent"
"Actinomyces",2,"infrequent"
"Flavonifractor",2,"infrequent"
"Hungatella",2,"infrequent"
"Lactobacillus",2,"infrequent"
"Negativibacillus",2,"infrequent"
"Agathobaculum",1,"infrequent"
"Anaerotignum",1,"infrequent"
"Faecalitalea",1,"infrequent"
"Streptococcus",1,"infrequent"
