"arm","group","mean_auc","sd_auc","n"
"BRIDGE-KO (PCA, ComBat-both)",25,0.679,0.041,10
"BRIDGE-KO (PCA, ComBat-both)",50,0.594,0.07,10
"BRIDGE-KO (PCA, ComBat-both)",75,0.626,0.07,10
"BRIDGE-KO (PCA, ComBat-both)",100,0.636,0.078,10
"Random source subset",25,0.603,0.057,10
"Random source subset",50,0.608,0.074,10
"Random source subset",75,0.566,0.073,10
"Random source subset",100,0.617,0.072,10
"Leakage-free (within-fold ComBat)",25,0.623,0.074,10
"Leakage-free (within-fold ComBat)",50,0.608,0.058,10
"Leakage-free (within-fold ComBat)",75,0.629,0.087,10
"Leakage-free (within-fold ComBat)",100,0.62,0.069,10
"ComBat source-only",25,0.501,0.084,10
"ComBat source-only",50,0.475,0.066,10
"ComBat source-only",75,0.513,0.073,10
"ComBat source-only",100,0.472,0.084,10
"Covariate-aware ComBat (~response)",25,0.518,0.08,10
"Covariate-aware ComBat (~response)",50,0.543,0.101,10
"Covariate-aware ComBat (~response)",75,0.522,0.114,10
"Covariate-aware ComBat (~response)",100,0.542,0.089,10
"Knockoff method: equi",25,0.679,0.041,10
"Knockoff method: sdp",25,0.62,0.053,10
"Knockoff method: asdp",25,0.62,0.053,10
"Baseline: target_only",25,0.625,0.079,10
"Baseline: coral",25,0.62,0.046,10
"Baseline: dann",25,0.537,0.059,10
"Covariate: micro-only",25,0.679,0.041,10
"Covariate: covariates-only",25,0.491,0,10
"Covariate: micro+covariates",25,0.595,0.04,10
