setting,distance,combat,split,group,run,auc
# Fig4 main = PCA; UMAP = supplementary. Values transcribed from LMM_microbiomap.pdf.
# combat: none | target | both ; split: 70_30 | pitt
# --- PCA, no ComBat (PDF p36) ---
pca_none,PCA,none,70_30,25,1,0.3901098901098901
pca_none,PCA,none,70_30,25,2,0.39010989010989006
pca_none,PCA,none,70_30,25,3,0.5146520146520146
pca_none,PCA,none,70_30,25,4,0.5054945054945055
pca_none,PCA,none,70_30,25,5,0.4230769230769231
pca_none,PCA,none,70_30,25,6,0.45787545787545786
pca_none,PCA,none,70_30,25,7,0.5201465201465201
pca_none,PCA,none,70_30,25,8,0.5531135531135531
pca_none,PCA,none,70_30,25,9,0.5769230769230769
pca_none,PCA,none,70_30,25,10,0.3388278388278388
pca_none,PCA,none,70_30,50,1,0.5384615384615384
pca_none,PCA,none,70_30,50,2,0.6813186813186812
pca_none,PCA,none,70_30,50,3,0.543956043956044
pca_none,PCA,none,70_30,50,4,0.5091575091575091
pca_none,PCA,none,70_30,50,5,0.4285714285714286
pca_none,PCA,none,70_30,50,6,0.6575091575091574
pca_none,PCA,none,70_30,50,7,0.6190476190476191
pca_none,PCA,none,70_30,50,8,0.6153846153846153
pca_none,PCA,none,70_30,50,9,0.6043956043956045
pca_none,PCA,none,70_30,50,10,0.34065934065934056
pca_none,PCA,none,70_30,75,1,0.38278388278388276
pca_none,PCA,none,70_30,75,2,0.6373626373626374
pca_none,PCA,none,70_30,75,3,0.4963369963369963
pca_none,PCA,none,70_30,75,4,0.46703296703296704
pca_none,PCA,none,70_30,75,5,0.5494505494505495
pca_none,PCA,none,70_30,75,6,0.5402930402930404
pca_none,PCA,none,70_30,75,7,0.5347985347985348
pca_none,PCA,none,70_30,75,8,0.5183150183150182
pca_none,PCA,none,70_30,75,9,0.5274725274725274
pca_none,PCA,none,70_30,75,10,0.5622710622710623
pca_none,PCA,none,70_30,100,1,0.6025641025641025
pca_none,PCA,none,70_30,100,2,0.5677655677655677
pca_none,PCA,none,70_30,100,3,0.48901098901098905
pca_none,PCA,none,70_30,100,4,0.4652014652014652
pca_none,PCA,none,70_30,100,5,0.5915750915750916
pca_none,PCA,none,70_30,100,6,0.47069597069597074
pca_none,PCA,none,70_30,100,7,0.6208791208791209
pca_none,PCA,none,70_30,100,8,0.576923076923077
pca_none,PCA,none,70_30,100,9,0.7124542124542124
pca_none,PCA,none,70_30,100,10,0.6373626373626373
# --- PCA, ComBat target-only (PDF p46) ---
pca_target,PCA,target,70_30,25,1,0.641025641025641
pca_target,PCA,target,70_30,25,2,0.6547619047619048
pca_target,PCA,target,70_30,25,3,0.5082417582417582
pca_target,PCA,target,70_30,25,4,0.6593406593406593
pca_target,PCA,target,70_30,25,5,0.6648351648351648
pca_target,PCA,target,70_30,25,6,0.6794871794871794
pca_target,PCA,target,70_30,25,7,0.5796703296703297
pca_target,PCA,target,70_30,25,8,0.6978021978021978
pca_target,PCA,target,70_30,25,9,0.49633699633699624
pca_target,PCA,target,70_30,25,10,0.6163003663003663
pca_target,PCA,target,70_30,50,1,0.6245421245421245
pca_target,PCA,target,70_30,50,2,0.5641025641025641
pca_target,PCA,target,70_30,50,3,0.6263736263736264
pca_target,PCA,target,70_30,50,4,0.6703296703296703
pca_target,PCA,target,70_30,50,5,0.6831501831501832
pca_target,PCA,target,70_30,50,6,0.6071428571428572
pca_target,PCA,target,70_30,50,7,0.6309523809523809
pca_target,PCA,target,70_30,50,8,0.6602564102564102
pca_target,PCA,target,70_30,50,9,0.5119047619047619
pca_target,PCA,target,70_30,50,10,0.5210622710622711
pca_target,PCA,target,70_30,75,1,0.6602564102564102
pca_target,PCA,target,70_30,75,2,0.7261904761904762
pca_target,PCA,target,70_30,75,3,0.5741758241758241
pca_target,PCA,target,70_30,75,4,0.6694139194139194
pca_target,PCA,target,70_30,75,5,0.6071428571428572
pca_target,PCA,target,70_30,75,6,0.6932234432234432
pca_target,PCA,target,70_30,75,7,0.6547619047619048
pca_target,PCA,target,70_30,75,8,0.6694139194139194
pca_target,PCA,target,70_30,75,9,0.597985347985348
pca_target,PCA,target,70_30,75,10,0.7316849816849818
pca_target,PCA,target,70_30,100,1,0.4789377289377289
pca_target,PCA,target,70_30,100,2,0.4496336996336997
pca_target,PCA,target,70_30,100,3,0.6309523809523809
pca_target,PCA,target,70_30,100,4,0.7225274725274726
pca_target,PCA,target,70_30,100,5,0.5384615384615384
pca_target,PCA,target,70_30,100,6,0.6117216117216117
pca_target,PCA,target,70_30,100,7,0.6456043956043956
pca_target,PCA,target,70_30,100,8,0.7435897435897436
pca_target,PCA,target,70_30,100,9,0.6694139194139194
pca_target,PCA,target,70_30,100,10,0.6208791208791209
# --- PCA, ComBat both (PDF p55) = BEST CONFIG family ---
pca_both,PCA,both,70_30,25,1,0.7252747252747253
pca_both,PCA,both,70_30,25,2,0.6611721611721612
pca_both,PCA,both,70_30,25,3,0.6813186813186812
pca_both,PCA,both,70_30,25,4,0.7124542124542125
pca_both,PCA,both,70_30,25,5,0.7197802197802198
pca_both,PCA,both,70_30,25,6,0.6227106227106227
pca_both,PCA,both,70_30,25,7,0.7307692307692307
pca_both,PCA,both,70_30,25,8,0.6446886446886446
pca_both,PCA,both,70_30,25,9,0.6318681318681318
pca_both,PCA,both,70_30,25,10,0.6575091575091575
pca_both,PCA,both,70_30,50,1,0.5457875457875458
pca_both,PCA,both,70_30,50,2,0.6043956043956045
pca_both,PCA,both,70_30,50,3,0.5311355311355311
pca_both,PCA,both,70_30,50,4,0.706959706959707
pca_both,PCA,both,70_30,50,5,0.576923076923077
pca_both,PCA,both,70_30,50,6,0.6483516483516484
pca_both,PCA,both,70_30,50,7,0.5302197802197801
pca_both,PCA,both,70_30,50,8,0.6098901098901098
pca_both,PCA,both,70_30,50,9,0.684981684981685
pca_both,PCA,both,70_30,50,10,0.5
pca_both,PCA,both,70_30,75,1,0.6355311355311355
pca_both,PCA,both,70_30,75,2,0.6556776556776557
pca_both,PCA,both,70_30,75,3,0.6446886446886446
pca_both,PCA,both,70_30,75,4,0.4798534798534798
pca_both,PCA,both,70_30,75,5,0.5824175824175823
pca_both,PCA,both,70_30,75,6,0.6153846153846154
pca_both,PCA,both,70_30,75,7,0.6849816849816849
pca_both,PCA,both,70_30,75,8,0.7454212454212454
pca_both,PCA,both,70_30,75,9,0.63003663003663
pca_both,PCA,both,70_30,75,10,0.586080586080586
pca_both,PCA,both,70_30,100,1,0.5311355311355311
pca_both,PCA,both,70_30,100,2,0.6025641025641025
pca_both,PCA,both,70_30,100,3,0.5054945054945055
pca_both,PCA,both,70_30,100,4,0.6428571428571429
pca_both,PCA,both,70_30,100,5,0.73992673992674
pca_both,PCA,both,70_30,100,6,0.6043956043956044
pca_both,PCA,both,70_30,100,7,0.7234432234432234
pca_both,PCA,both,70_30,100,8,0.673992673992674
pca_both,PCA,both,70_30,100,9,0.6263736263736264
pca_both,PCA,both,70_30,100,10,0.7069597069597069
