term,beta,SE,z,p
const,0.6603295784339509,0.6350854535901511,1.0397491781634962,0.2984564461834922
age,-0.14614437041016623,0.19759739962105544,-0.7396067493319051,0.45953864512315246
bmi,0.30976261590116577,0.2013650196480934,1.5383139357695226,0.12397187397350377
sex_Male,-0.7537422721532328,0.5012437049407044,-1.5037441163323901,0.1326472652579141
sex_unknown,-0.7423622078973475,0.7591282694237392,-0.9779140598477264,0.3281168307038309
seq_method_MetaOMineR,0.005347220104018707,0.6765314662122013,0.00790387494310796,0.9936936858729889
seq_method_MetaPhlAn,-0.18934499297906124,0.7879382515325637,-0.24030435457446,0.8100943194452822
abx_Used,0.5404557683211777,1.0480402787915097,0.5156822492971116,0.6060763542478133
ppi_Used,0.48930392932051153,0.6519676044098882,0.7505034391446374,0.45295155325949366
stage_IV-B,1.991314689460323,1.180369460542187,1.687026609910459,0.09159823538195046
stage_IV-C,-0.5546261744905322,0.6774640261252229,-0.8186798901525949,0.41296907302591324
stage_IV-D,0.12452592396596392,0.9536633085967064,0.13057640242991098,0.896110411005882
bridgeko_score,0.19625945052311508,0.1772980929401247,1.1069462015555567,0.268317188873038
